time,Y,Ybar,Ybar_lo,Ybar_hi
15,2726,987.798860723374,855.554798998517,1083.70924936567
51,2970,890.641833544768,709.891807464164,1021.56732880274
87,721,815.480186518947,650.01372729457,930.900867874713
123,352,754.678024074725,614.793728446956,860.611673915756
159,856,713.344889923479,597.199441879085,829.12636817333
195,1443,695.791624071217,565.256388123722,808.907648667122
231,1020,706.887563586034,497.825834217104,841.568974529622
267,740,755.655435037625,450.255571078076,1060.52653573147
303,NA,861.601855585533,424.023649876734,1497.50125959014
339,NA,1064.22767200431,418.975043243167,2320.59947129091
