time,Y,Ybar,Ybar_lo,Ybar_hi
15,4056,3400.51086558512,3149.20366619841,3956.04014685435
51,3931,3859.76920269107,3490.92503148656,4580.83903429181
87,4590,4255.69057142369,3854.23383439734,4903.01785764306
123,5327,4625.36583964538,4266.267867245,5099.67689895854
159,5017,4973.37403188124,4729.7003976587,5283.74090651476
195,4488,5306.55205351249,5080.00568704991,5611.7567242963
231,5801,5631.90613557223,5102.60071528173,6145.48208091568
267,4366,5955.5564580108,5056.60633265705,6808.42637817082
303,NA,6282.43110240206,4970.40998779275,7527.3444353484
339,NA,6616.42920699471,4860.14793934189,8306.43606233129
