time,Y,Ybar,Ybar_lo,Ybar_hi
15,2217,2219.83064298261,1964.70078114471,2430.02501385676
51,1654,2015.76696470019,1510.17698393597,2443.2418049875
87,1413,2026.23497998114,1506.54131083349,2523.85565518138
123,2938,2185.03382345385,1684.22146597732,2627.22109462955
159,3176,2493.6560624169,2110.94135225776,2871.39025146067
195,2370,2987.85871236779,2698.78576036004,3519.40285975481
231,4026,3748.07541770163,3071.7950640548,4886.93706083346
267,3581,4935.52061319173,3301.07361236206,7676.06956457815
303,NA,6867.90840556016,3559.07729313514,13242.9435995639
339,NA,10175.1181322597,3860.1601952972,23818.3036722586
