time,Y,Ybar,Ybar_lo,Ybar_hi
1,800,521.181067580384,478.944975966526,549.280897480456
2,536,583.776074264427,492.535719887721,638.569317236752
3,533,674.291047426557,545.6424242665,758.396598530638
4,709,799.586161110253,650.584349277069,915.9194042034
5,859,971.530998187348,828.454676775996,1118.07064006864
6,1149,1209.5355743825,1104.35823361519,1378.82153079468
7,1754,1547.39169181598,1392.0894329054,1818.23644702025
8,1902,2052.13289107367,1740.35551086724,2821.42163854257
9,NA,2882.82779713586,2160.41983097663,5031.31563361343
10,NA,4499.41778602281,2631.2342375607,10737.6362853784
