time,Y,Ybar,Ybar_lo,Ybar_hi
1,4083,3257.57209551499,3137.25257485438,3399.30787784267
2,2181,2694.7073254671,2500.41875772401,2983.23771452609
3,2065,2283.28358928881,2046.90138661525,2651.56814671337
4,2200,1973.73247034335,1744.04481880103,2343.40636058188
5,2292,1736.08396316181,1510.5116528709,2059.8540806578
6,1551,1551.62503254932,1298.05584446111,1829.9038593289
7,1734,1408.51246317698,1120.50160713638,1714.01777706553
8,1254,1299.43774749957,977.422986092476,1673.05611601948
9,NA,1220.40583144333,841.035668225255,1754.86368325855
10,NA,1170.12979998525,676.742694751523,1893.5882242817
